SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant
10,1,The stairs climbed Ben,Non-sensible,up,up,1,7.957432032,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The teeth brushed Carl,Non-sensible,up,up,1,2.72816205,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I sprinkled the sand,Sklar_control_A,up,up,1,4.045416832,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The flour weighed Jen,Non-sensible,up,up,1,1.551818132,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Liz weighed the sugar,Sensible,down,None,0,None,0,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The number dialed Tom,Non-sensible,down,down,1,1.747720003,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The jumper wore Joe,Non-sensible,down,down,1,1.935928106,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The cheese grated Andy,Non-sensible,up,up,1,1.324306011,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The portrait painted Jay,Non-sensible,down,down,1,1.034494877,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The rice stored Fred,Non-sensible,down,down,1,1.281026125,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I cooked the tomatoes,Sklar_filler,up,None,0,None,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jon cut the paper,Sensible,down,down,1,1.034509897,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Dan whisked the eggs,Sensible,down,None,0,None,0,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I washed the head,Sklar_filler,down,None,0,None,0,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I baked the bread,Sklar_control_A,down,down,1,2.312438965,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Bill trimmed the hair,Sensible,down,down,1,1.324354887,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The box labeled Ian,Non-sensible,down,down,1,4.264789104,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The movie watched Ella,Non-sensible,down,down,1,1.116001129,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
