SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
21,1,lane,neutral,short neutral,4,5.39,up,up,1,1.65799681074,2016_Aug_17_1009,85.0511867385,
21,1,lose,negative,short negative,4,2.81,down,down,1,0.834709336399,2016_Aug_17_1009,85.0511867385,
21,1,hate,negative,short negative,4,2.12,up,up,1,1.4580896917,2016_Aug_17_1009,85.0511867385,
21,1,crackers,neutral,long neutral,8,5.8,down,down,1,0.940538196592,2016_Aug_17_1009,85.0511867385,
21,1,fake,negative,short negative,4,3.1,up,up,1,0.881768190069,2016_Aug_17_1009,85.0511867385,
21,1,toothache,negative,long negative,9,1.98,up,up,1,0.860705433879,2016_Aug_17_1009,85.0511867385,
21,1,corrupt,negative,long negative,7,3.32,up,up,1,0.834746860783,2016_Aug_17_1009,85.0511867385,
21,1,ugly,negative,short negative,4,2.43,up,up,1,1.23459317093,2016_Aug_17_1009,85.0511867385,
21,1,clot,negative,short negative,4,3.13,down,down,1,1.05818917963,2016_Aug_17_1009,85.0511867385,
21,1,lamb,neutral,short neutral,4,5.89,down,down,1,0.740603816346,2016_Aug_17_1009,85.0511867385,
21,1,die,negative,short negative,3,2.48,up,up,1,1.17579654441,2016_Aug_17_1009,85.0511867385,
21,1,scrotum,neutral,long neutral,7,5.85,down,down,1,0.670033175382,2016_Aug_17_1009,85.0511867385,
21,1,horrible,negative,long negative,8,2.28,down,down,1,0.707868714468,2016_Aug_17_1009,85.0511867385,
21,1,debt,negative,short negative,4,2.22,down,down,1,1.09346151084,2016_Aug_17_1009,85.0511867385,
21,1,disgusting,negative,long negative,10,2.96,up,up,1,0.928802989656,2016_Aug_17_1009,85.0511867385,
21,1,fail,negative,short negative,4,1.79,down,down,1,1.29363001802,2016_Aug_17_1009,85.0511867385,
21,1,sad,negative,short negative,3,1.61,down,down,1,1.18754586321,2016_Aug_17_1009,85.0511867385,
21,1,van,neutral,short neutral,3,4.97,down,down,1,1.5168683579,2016_Aug_17_1009,85.0511867385,
21,1,nose,neutral,short neutral,4,4.71,down,down,1,1.14050625276,2016_Aug_17_1009,85.0511867385,
21,1,unit,neutral,short neutral,4,5.59,up,up,1,0.952314776834,2016_Aug_17_1009,85.0511867385,
21,1,bolt,neutral,short neutral,4,5.42,down,down,1,0.846526006702,2016_Aug_17_1009,85.0511867385,
21,1,pee,neutral,short neutral,3,5.41,down,down,1,1.23530036223,2016_Aug_17_1009,85.0511867385,
21,1,fat,negative,short negative,3,2.28,up,up,1,1.05817859585,2016_Aug_17_1009,85.0511867385,
21,1,herring,neutral,long neutral,7,5.43,down,down,1,0.987653497374,2016_Aug_17_1009,85.0511867385,
21,1,appliance,neutral,long neutral,9,5.1,down,down,1,1.16403696255,2016_Aug_17_1009,85.0511867385,
21,1,cripple,negative,long negative,7,2.89,up,up,1,0.893497303361,2016_Aug_17_1009,85.0511867385,
