Unnamed: 0,Condition,Contrast,List,MeanAffectivity,SubjNo,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,W1 score,W2 score
115,New,50,1,-1.113636364,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The bridge went over Claire,Neutral sentence,0.9178051948549999,1,20.0,,
116,New,50,1,-1.048780488,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,Sally licked the cat,Negative sentence,1.64692401886,1,24.0,,
117,New,50,1,-1.386363636,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The hunter outwitted the bunny,Negative sentence,1.10607814789,1,22.0,,
118,Sklar,50,1,-4.395348837,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,concentration camp,Negative phrase,1.7645850181599998,1,1026.0,1.534883721,1.1590909090000001
119,Sklar_Hebrew_neutral,50,1,0.4,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,ידית אחיזה,Hebrew,0.917672157288,1,,,
120,Sklar_Hebrew_negative,50,1,-2.05,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שיער פנים,Hebrew,1.16079211235,1,,,
121,Sklar,50,1,-2.8409090910000003,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,upside-down car,Negative phrase,1.2353930473299999,1,1045.0,-1.11627907,1.078651685
122,New,50,1,0.071428571,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,The pig was a male,Neutral sentence,0.941286802292,1,18.0,,
123,Sklar_Hebrew_neutral,80,1,0.3,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיבת דואר,Hebrew,0.709609031677,1,,,
124,Sklar_Hebrew_neutral,50,1,0.35,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,מנחת מסוקים,Hebrew,0.922398090363,1,,,
125,Sklar,50,1,-0.666666667,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,speed bumps,Neutral phrase,1.00499510765,1,1015.0,0.166666667,-0.7333333329999999
126,Sklar_Hebrew_neutral,50,1,0.65,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מעבר חצייה,Hebrew,1.3527309894600001,1,,,
127,Sklar_Hebrew_neutral,80,1,0.85,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיק גב,Hebrew,0.828214883804,1,,,
128,New,50,1,-2.545454545,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,dentist drill,Negative phrase,1.48229193687,1,1046.0,-0.977777778,-0.093023256
129,Sklar,50,1,-4.658536585,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,human trafficking,Negative phrase,0.8990151882170001,1,1050.0,1.651162791,-3.244444444
130,New,50,1,2.022727273,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The policeman tackled the criminal,Neutral sentence,2.23479199409,1,28.0,,
131,New,50,1,3.545454545,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The fireman killed the fire,Neutral sentence,1.69872498512,1,4.0,,
132,New,50,1,0.090909091,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,cardboard box,Neutral phrase,1.58801293373,1,1047.0,0.15555555599999998,0.244186047
133,Sklar_Hebrew_negative,80,1,-3.75,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,כיסא חשמלי,Hebrew,0.81209397316,1,,,
134,New,50,1,0.181818182,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,Harry caught the octopus,Neutral sentence,1.7647089958200002,1,6.0,,
135,Sklar_Hebrew_neutral,50,1,1.15,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,גג-רעפים,Hebrew,1.36489510536,1,,,
136,Sklar,50,1,-3.833333333,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,overdose,Negative phrase,2.28980994225,1,1027.0,0.073170732,-0.386363636
137,Sklar,50,1,-3.285714286,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,skinhead,Negative phrase,2.4749610424,1,1025.0,0.56097561,0.7701149429999999
138,Sklar_Hebrew_negative,50,1,-3.85,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מצב צמח,Hebrew,1.27074408531,1,,,
139,Sklar_Hebrew_negative,80,1,-2.25,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,סוף העולם,Hebrew,1.8047168254900003,1,,,
140,New,50,1,-1.136363636,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The child scared the dog,Neutral sentence,1.27076792717,1,26.0,,
141,Sklar_Hebrew_negative,80,1,-2.05,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,שיער פנים,Hebrew,0.875325202942,1,,,
142,Sklar_Hebrew_neutral,80,1,0.35,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,שרפרף מעץ,Hebrew,2.85834598541,1,,,
143,New,50,1,-4.195121951,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,Mum hit the baby,Negative sentence,1.6822719574,1,14.0,,
144,Sklar_Hebrew_neutral,80,1,-0.1,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,מוט הילוכים,Hebrew,1.53409600258,1,,,
145,New,50,1,-3.222222222,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The officer crushed the car,Neutral sentence,1.0351707935299999,1,9.0,,
