,Unnamed: 0,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID
102,102,Sklar_Hebrew_neutral,80,1,1.65,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,ארגז חול,Hebrew,1.3647539615600002,1,
103,103,Sklar_Hebrew_negative,50,1,-4.7,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,תינוק בתנור,Hebrew,1.90582203865,1,
104,104,Sklar,50,1,0.5111111110000001,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,tile roof,Neutral phrase,1.03570413589,1,1002
105,105,Sklar_Hebrew_negative,80,1,-2.15,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תשעה באב,Hebrew,0.894140005112,1,
106,106,Sklar,50,1,0.533333333,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,lined paper,Neutral phrase,1.5525460243200002,1,1005
107,107,Sklar,50,1,-2.933333333,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,bad breath,Negative phrase,0.87825012207,1,1032
108,108,Sklar_Hebrew_neutral,80,1,1.9,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,חולצה מגוהצת,Hebrew,1.1881549358399999,1,
109,109,New,50,1,-4.023255814,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The attacker followed the journalist,Negative sentence,0.9648551940919999,1,21
110,110,Sklar_Hebrew_neutral,50,1,-0.1,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מוט הילוכים,Hebrew,1.25869488716,1,
111,111,Sklar_Hebrew_negative,80,1,-3.45,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,ריח מהפה,Hebrew,1.3176698684700001,1,
112,112,Sklar_Hebrew_negative,50,1,2.25,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,פנס בעין,Hebrew,1.20009994507,1,
113,113,Sklar_Hebrew_negative,50,1,-3.85,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,נרדם בנהיגה,Hebrew,1.07060599327,1,
114,114,New,50,1,2.255813953,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The cat licked Sally,Neutral sentence,1.03566288948,1,24
115,115,New,50,1,-1.113636364,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The bridge went over Claire,Neutral sentence,0.9178051948549999,1,20
116,116,New,50,1,-1.048780488,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,Sally licked the cat,Negative sentence,1.64692401886,1,24
117,117,New,50,1,-1.386363636,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The hunter outwitted the bunny,Negative sentence,1.10607814789,1,22
118,118,Sklar,50,1,-4.395348837,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,concentration camp,Negative phrase,1.7645850181599998,1,1026
119,119,Sklar_Hebrew_neutral,50,1,0.4,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,ידית אחיזה,Hebrew,0.917672157288,1,
120,120,Sklar_Hebrew_negative,50,1,-2.05,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שיער פנים,Hebrew,1.16079211235,1,
121,121,Sklar,50,1,-2.8409090910000003,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,upside-down car,Negative phrase,1.2353930473299999,1,1045
122,122,New,50,1,0.071428571,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,The pig was a male,Neutral sentence,0.941286802292,1,18
123,123,Sklar_Hebrew_neutral,80,1,0.3,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיבת דואר,Hebrew,0.709609031677,1,
124,124,Sklar_Hebrew_neutral,50,1,0.35,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,מנחת מסוקים,Hebrew,0.922398090363,1,
125,125,Sklar,50,1,-0.666666667,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,speed bumps,Neutral phrase,1.00499510765,1,1015
126,126,Sklar_Hebrew_neutral,50,1,0.65,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מעבר חצייה,Hebrew,1.3527309894600001,1,
127,127,Sklar_Hebrew_neutral,80,1,0.85,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיק גב,Hebrew,0.828214883804,1,
128,128,New,50,1,-2.545454545,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,dentist drill,Negative phrase,1.48229193687,1,1046
129,129,Sklar,50,1,-4.658536585,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,human trafficking,Negative phrase,0.8990151882170001,1,1050
130,130,New,50,1,2.022727273,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The policeman tackled the criminal,Neutral sentence,2.23479199409,1,28
131,131,New,50,1,3.545454545,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The fireman killed the fire,Neutral sentence,1.69872498512,1,4
132,132,New,50,1,0.090909091,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,cardboard box,Neutral phrase,1.58801293373,1,1047
133,133,Sklar_Hebrew_negative,80,1,-3.75,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,כיסא חשמלי,Hebrew,0.81209397316,1,
134,134,New,50,1,0.181818182,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,Harry caught the octopus,Neutral sentence,1.7647089958200002,1,6
135,135,Sklar_Hebrew_neutral,50,1,1.15,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,גג-רעפים,Hebrew,1.36489510536,1,
136,136,Sklar,50,1,-3.833333333,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,overdose,Negative phrase,2.28980994225,1,1027
137,137,Sklar,50,1,-3.285714286,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,skinhead,Negative phrase,2.4749610424,1,1025
138,138,Sklar_Hebrew_negative,50,1,-3.85,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מצב צמח,Hebrew,1.27074408531,1,
