,Unnamed: 0,Unnamed: 0.1,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,string_length
101,101,101,New,50,1,1.9318181819999998,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,Sam hit the ball,Neutral sentence,0.8824789524079999,1,16.0,16
102,102,102,Sklar_Hebrew_neutral,80,1,1.65,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,ארגז חול,Hebrew,1.3647539615600002,1,,8
103,103,103,Sklar_Hebrew_negative,50,1,-4.7,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,תינוק בתנור,Hebrew,1.90582203865,1,,11
104,104,104,Sklar,50,1,0.5111111110000001,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,tile roof,Neutral phrase,1.03570413589,1,1002.0,9
105,105,105,Sklar_Hebrew_negative,80,1,-2.15,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תשעה באב,Hebrew,0.894140005112,1,,8
106,106,106,Sklar,50,1,0.533333333,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,lined paper,Neutral phrase,1.5525460243200002,1,1005.0,11
107,107,107,Sklar,50,1,-2.933333333,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,bad breath,Negative phrase,0.87825012207,1,1032.0,10
108,108,108,Sklar_Hebrew_neutral,80,1,1.9,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,חולצה מגוהצת,Hebrew,1.1881549358399999,1,,12
109,109,109,New,50,1,-4.023255814,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The attacker followed the journalist,Negative sentence,0.9648551940919999,1,21.0,36
110,110,110,Sklar_Hebrew_neutral,50,1,-0.1,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מוט הילוכים,Hebrew,1.25869488716,1,,11
111,111,111,Sklar_Hebrew_negative,80,1,-3.45,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,ריח מהפה,Hebrew,1.3176698684700001,1,,8
112,112,112,Sklar_Hebrew_negative,50,1,2.25,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,פנס בעין,Hebrew,1.20009994507,1,,8
113,113,113,Sklar_Hebrew_negative,50,1,-3.85,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,נרדם בנהיגה,Hebrew,1.07060599327,1,,11
114,114,114,New,50,1,2.255813953,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The cat licked Sally,Neutral sentence,1.03566288948,1,24.0,20
115,115,115,New,50,1,-1.113636364,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The bridge went over Claire,Neutral sentence,0.9178051948549999,1,20.0,27
116,116,116,New,50,1,-1.048780488,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,Sally licked the cat,Negative sentence,1.64692401886,1,24.0,20
117,117,117,New,50,1,-1.386363636,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The hunter outwitted the bunny,Negative sentence,1.10607814789,1,22.0,30
118,118,118,Sklar,50,1,-4.395348837,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,concentration camp,Negative phrase,1.7645850181599998,1,1026.0,18
119,119,119,Sklar_Hebrew_neutral,50,1,0.4,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,ידית אחיזה,Hebrew,0.917672157288,1,,10
120,120,120,Sklar_Hebrew_negative,50,1,-2.05,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שיער פנים,Hebrew,1.16079211235,1,,9
121,121,121,Sklar,50,1,-2.8409090910000003,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,upside-down car,Negative phrase,1.2353930473299999,1,1045.0,15
